,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
147,1.0,0.15,0.2,0.9,20.0,4.1,27.0,-2.35,21.5
148,1.0,0.15,0.2,0.95,20.0,4.8,26.6,-2.7,24.6
149,1.0,0.15,0.2,1.0,40.0,2.9,24.1,5.85,23.5
150,1.0,0.2,0.0,0.8,10.0,0.8,30.3,10.25,29.6
151,1.0,0.2,0.0,0.85,0.0,4.5,27.7,2.6,30.0
152,1.0,0.2,0.0,0.9,70.0,1.9,26.0,6.75,18.4
153,1.0,0.2,0.0,0.95,10.0,3.2,26.8,-3.05,27.0
154,1.0,0.2,0.0,1.0,10.0,1.8,23.6,-2.55,31.1
155,1.0,0.2,0.05,0.8,20.0,7.8,27.9,0.85,33.5
156,1.0,0.2,0.05,0.85,10.0,5.4,28.5,-1.15,31.9
157,1.0,0.2,0.05,0.9,70.0,5.5,28.4,2.95,23.6
158,1.0,0.2,0.05,0.95,70.0,4.5,25.5,6.25,24.3
159,1.0,0.2,0.05,1.0,20.0,2.0,20.5,10.45,25.3
160,1.0,0.2,0.1,0.8,10.0,4.1,29.4,4.1,27.5
161,1.0,0.2,0.1,0.85,30.0,8.7,36.2,1.15,28.1
162,1.0,0.2,0.1,0.9,30.0,3.8,33.0,-0.35,30.1
163,1.0,0.2,0.1,0.95,10.0,2.1,31.8,-1.1,29.5
164,1.0,0.2,0.1,1.0,10.0,3.8,26.7,-3.9,25.7
165,1.0,0.2,0.15,0.8,60.0,2.9,29.9,9.15,25.8
166,1.0,0.2,0.15,0.85,60.0,6.8,29.1,4.95,23.9
167,1.0,0.2,0.15,0.9,10.0,2.2,20.4,1.9,26.3
168,1.0,0.2,0.15,0.95,20.0,7.2,24.3,0.0,31.5
169,1.0,0.2,0.15,1.0,60.0,7.7,26.2,1.25,21.3
170,1.0,0.2,0.2,0.8,20.0,4.7,27.6,5.1,28.7
171,1.0,0.2,0.2,0.85,10.0,5.0,26.3,-0.65,26.0
172,1.0,0.2,0.2,0.9,0.0,8.4,30.0,-1.9,33.0
173,1.0,0.2,0.2,0.95,30.0,4.1,26.0,-3.95,21.7
174,1.0,0.2,0.2,1.0,20.0,6.5,31.0,1.1,32.8
175,1.0,0.25,0.0,0.8,10.0,3.2,31.2,11.85,27.7
176,1.0,0.25,0.0,0.85,30.0,7.1,30.2,-1.6,27.3
177,1.0,0.25,0.0,0.9,30.0,5.1,27.2,4.4,27.1
178,1.0,0.25,0.0,0.95,40.0,2.7,30.5,3.05,25.5
179,1.0,0.25,0.0,1.0,90.0,0.8,21.7,12.45,21.2
180,1.0,0.25,0.05,0.8,20.0,4.9,29.2,1.8,28.0
181,1.0,0.25,0.05,0.85,40.0,3.7,29.5,6.95,25.1
182,1.0,0.25,0.05,0.9,10.0,5.9,29.6,1.35,33.0
183,1.0,0.25,0.05,0.95,0.0,2.7,35.7,-1.95,32.5
184,1.0,0.25,0.05,1.0,10.0,1.3,25.1,-2.05,31.4
185,1.0,0.25,0.1,0.8,50.0,6.0,32.5,0.2,23.7
186,1.0,0.25,0.1,0.85,60.0,0.5,18.5,18.25,23.5
187,1.0,0.25,0.1,0.9,10.0,3.2,26.8,-1.25,29.4
188,1.0,0.25,0.1,0.95,40.0,5.8,29.8,6.65,31.3
189,1.0,0.25,0.1,1.0,20.0,3.9,25.6,0.0,24.7
190,1.0,0.25,0.15,0.8,70.0,5.6,23.0,8.45,18.6
191,1.0,0.25,0.15,0.85,30.0,5.4,30.0,4.05,25.8
192,1.0,0.25,0.15,0.9,40.0,3.2,33.8,5.2,26.2
193,1.0,0.25,0.15,0.95,0.0,7.1,28.1,-1.3,28.5
194,1.0,0.25,0.15,1.0,30.0,8.0,29.2,-2.0,24.8
195,1.0,0.25,0.2,0.8,30.0,4.6,31.9,8.8,25.8
196,1.0,0.25,0.2,0.85,40.0,5.5,25.8,-0.9,21.3
197,1.0,0.25,0.2,0.9,20.0,7.0,30.6,-0.6,27.7
198,1.0,0.25,0.2,0.95,20.0,7.5,26.7,-2.5,30.8
199,1.0,0.25,0.2,1.0,30.0,5.9,22.3,-4.5,27.0
200,1.0,0.3,0.0,0.8,0.0,4.3,26.2,-1.65,28.0
201,1.0,0.3,0.0,0.85,70.0,1.7,25.4,5.85,20.1
202,1.0,0.3,0.0,0.9,0.0,2.5,25.8,8.0,29.5
203,1.0,0.3,0.0,0.95,0.0,0.5,21.8,7.25,31.0
204,1.0,0.3,0.0,1.0,0.0,1.1,19.6,0.0,30.5
205,1.0,0.3,0.05,0.8,50.0,2.9,29.1,15.8,26.5
